sip_id,user_id,month,risk_profile,status,amount_inr
900000,NV400002,2026-01,Conservative,Active,3190.46
900000,NV400002,2026-02,Conservative,Active,3190.46
900000,NV400002,2026-03,Conservative,Active,3190.46
900000,NV400002,2026-04,Conservative,Active,3190.46
900000,NV400002,2026-05,Conservative,Active,3190.46
900000,NV400002,2026-06,Conservative,Paused,0.0
900000,NV400002,2026-07,Conservative,Cancelled,0.0
900001,NV400008,2026-01,Moderate,Active,4121.47
900001,NV400008,2026-02,Moderate,Active,4121.47
900001,NV400008,2026-03,Moderate,Active,4121.47
900001,NV400008,2026-04,Moderate,Active,4121.47
900001,NV400008,2026-05,Moderate,Active,4121.47
900001,NV400008,2026-06,Moderate,Active,4121.47
900001,NV400008,2026-07,Moderate,Active,4121.47
900002,NV400010,2026-01,Aggressive,Active,4269.8
900002,NV400010,2026-02,Aggressive,Active,4269.8
900002,NV400010,2026-03,Aggressive,Active,4269.8
900002,NV400010,2026-04,Aggressive,Active,4269.8
900002,NV400010,2026-05,Aggressive,Active,4269.8
900002,NV400010,2026-06,Aggressive,Active,4269.8
900002,NV400010,2026-07,Aggressive,Active,4269.8
900003,NV400011,2026-01,Moderate,Active,1828.76
900003,NV400011,2026-02,Moderate,Active,1828.76
900003,NV400011,2026-03,Moderate,Active,1828.76
900003,NV400011,2026-04,Moderate,Active,1828.76
900003,NV400011,2026-05,Moderate,Active,1828.76
900003,NV400011,2026-06,Moderate,Cancelled,0.0
900004,NV400012,2026-01,Aggressive,Active,4930.42
900004,NV400012,2026-02,Aggressive,Active,4930.42
900004,NV400012,2026-03,Aggressive,Active,4930.42
900004,NV400012,2026-04,Aggressive,Active,4930.42
900004,NV400012,2026-05,Aggressive,Paused,0.0
900004,NV400012,2026-06,Aggressive,Active,4930.42
900004,NV400012,2026-07,Aggressive,Active,4930.42
900005,NV400014,2026-01,Moderate,Paused,0.0
900005,NV400014,2026-02,Moderate,Active,3724.47
900005,NV400014,2026-03,Moderate,Active,3724.47
900005,NV400014,2026-04,Moderate,Active,3724.47
900005,NV400014,2026-05,Moderate,Active,3724.47
900005,NV400014,2026-06,Moderate,Active,3724.47
900005,NV400014,2026-07,Moderate,Active,3724.47
