user_id,event_name,event_timestamp
NV400000,signup_started,2026-01-17 00:00:00.000000
NV400000,mobile_otp_verified,2026-01-17 07:05:41.519888
NV400000,pan_kyc_submitted,2026-01-17 09:41:37.088554
NV400000,pan_kyc_approved,2026-01-17 11:26:26.511272
NV400000,risk_assessment_completed,2026-01-17 15:38:29.653170
NV400000,bank_account_linked,2026-01-17 17:59:28.859632
NV400001,signup_started,2026-01-28 00:00:00.000000
NV400001,mobile_otp_verified,2026-01-28 00:32:35.784904
NV400002,signup_started,2026-01-15 00:00:00.000000
NV400002,mobile_otp_verified,2026-01-15 05:42:52.559643
NV400002,pan_kyc_submitted,2026-01-15 06:19:20.417164
NV400002,pan_kyc_approved,2026-01-15 07:11:30.012621
NV400002,risk_assessment_completed,2026-01-15 12:04:18.995419
NV400002,bank_account_linked,2026-01-15 17:25:31.456410
NV400002,first_investment_made,2026-01-16 02:32:47.666801
NV400003,signup_started,2026-01-03 00:00:00.000000
NV400004,signup_started,2026-01-18 00:00:00.000000
NV400004,mobile_otp_verified,2026-01-18 06:40:07.671016
NV400004,pan_kyc_submitted,2026-01-18 07:15:08.995856
NV400004,pan_kyc_approved,2026-01-18 14:33:57.483804
NV400005,signup_started,2026-01-21 00:00:00.000000
NV400005,mobile_otp_verified,2026-01-21 01:56:55.776519
NV400005,pan_kyc_submitted,2026-01-21 04:36:19.106528
NV400005,pan_kyc_approved,2026-01-21 12:05:16.932908
NV400005,risk_assessment_completed,2026-01-21 17:37:55.936247
NV400006,signup_started,2026-01-03 00:00:00.000000
NV400006,mobile_otp_verified,2026-01-03 15:30:27.737932
NV400006,pan_kyc_submitted,2026-01-03 22:08:33.694952
NV400006,pan_kyc_approved,2026-01-04 03:13:29.731186
NV400006,risk_assessment_completed,2026-01-04 06:08:17.669536
NV400006,bank_account_linked,2026-01-04 14:13:16.582122
NV400006,first_investment_made,2026-01-04 15:03:06.849134
NV400007,signup_started,2026-01-15 00:00:00.000000
NV400007,mobile_otp_verified,2026-01-15 00:08:17.163135
NV400007,pan_kyc_submitted,2026-01-15 04:01:40.418051
NV400007,pan_kyc_approved,2026-01-16 19:21:30.563569
NV400007,risk_assessment_completed,2026-01-16 20:43:03.416841
NV400007,bank_account_linked,2026-01-16 23:13:02.350092
NV400008,signup_started,2026-01-11 00:00:00.000000
NV400008,mobile_otp_verified,2026-01-11 01:44:24.097622
NV400008,pan_kyc_submitted,2026-01-11 01:59:22.452846
NV400008,pan_kyc_approved,2026-01-13 14:33:22.335243
